c_function,c_signature,go_file,go_func,go_signature,is_c_public,notes
_rotate60cw,(C-internal: coordijk.c),coordijk__rotate60cw.go,_rotate60cw,func _rotate60cw(digit Direction) Direction,false,kind: func
_setIJK,(C-internal: coordijk.c),coordijk__setIJK.go,_setIJK,"func _setIJK(ijk *CoordIJK, i, j, k int32)",false,kind: func
_unitIjkToDigit,(C-internal: coordijk.c),coordijk__unitIjkToDigit.go,_unitIjkToDigit,func _unitIjkToDigit(ijk *CoordIJK) Direction,false,kind: func
_upAp7,(C-internal: coordijk.c),coordijk__upAp7.go,_upAp7,func _upAp7(ijk *CoordIJK),false,kind: func
_upAp7Checked,(C-internal: coordijk.c),coordijk__upAp7Checked.go,_upAp7Checked,func _upAp7Checked(ijk *CoordIJK) H3Error,false,kind: func
_upAp7r,(C-internal: coordijk.c),coordijk__upAp7r.go,_upAp7r,func _upAp7r(ijk *CoordIJK),false,kind: func
_upAp7rChecked,(C-internal: coordijk.c),coordijk__upAp7rChecked.go,_upAp7rChecked,func _upAp7rChecked(ijk *CoordIJK) H3Error,false,kind: func
cubeToIjk,(C-internal: coordijk.c),coordijk__cubeToIjk.go,cubeToIjk,func cubeToIjk(ijk *CoordIJK),false,kind: func
ijToIjk,(C-internal: coordijk.c),coordijk__ijToIjk.go,ijToIjk,"func ijToIjk(ij *CoordIJ, ijk *CoordIJK) H3Error",false,kind: func
ijkDistance,(C-internal: coordijk.c),coordijk__ijkDistance.go,ijkDistance,"func ijkDistance(c1, c2 *CoordIJK) int32",false,kind: func
ijkToCube,(C-internal: coordijk.c),coordijk__ijkToCube.go,ijkToCube,func ijkToCube(ijk *CoordIJK),false,kind: func
ijkToIj,(C-internal: coordijk.c),coordijk__ijkToIj.go,ijkToIj,"func ijkToIj(ijk *CoordIJK, ij *CoordIJ)",false,kind: func
_adjustOverageClassII,(C-internal: faceijk.c),faceijk__adjustOverageClassII.go,_adjustOverageClassII,"func _adjustOverageClassII(fijk *FaceIJK, res int32, pentLeading4 bool, substrate bool) Overage",false,kind: func
_adjustPentVertOverage,(C-internal: faceijk.c),faceijk__adjustPentVertOverage.go,_adjustPentVertOverage,"func _adjustPentVertOverage(fijk *FaceIJK, res int32) Overage",false,kind: func
_faceIjkPentToCellBoundary,(C-internal: faceijk.c),faceijk__faceIjkPentToCellBoundary.go,_faceIjkPentToCellBoundary,"func _faceIjkPentToCellBoundary(h *FaceIJK, res int32, start int32, length int32, g *CellBoundary)",false,kind: func
_faceIjkPentToVerts,(C-internal: faceijk.c),faceijk__faceIjkPentToVerts.go,_faceIjkPentToVerts,"func _faceIjkPentToVerts(fijk *FaceIJK, res *int32, fijkVerts []FaceIJK)",false,kind: func
_faceIjkToCellBoundary,(C-internal: faceijk.c),faceijk__faceIjkToCellBoundary.go,_faceIjkToCellBoundary,"func _faceIjkToCellBoundary(h *FaceIJK, res int32, start int32, length int32, g *CellBoundary)",false,kind: func
_faceIjkToGeo,(C-internal: faceijk.c),faceijk__faceIjkToGeo.go,_faceIjkToGeo,"func _faceIjkToGeo(h *FaceIJK, res int32, g *LatLng)",false,kind: func
_faceIjkToVerts,(C-internal: faceijk.c),faceijk__faceIjkToVerts.go,_faceIjkToVerts,"func _faceIjkToVerts(fijk *FaceIJK, res *int32, fijkVerts []FaceIJK)",false,kind: func
_geoToClosestFace,(C-internal: faceijk.c),faceijk__geoToClosestFace.go,_geoToClosestFace,"func _geoToClosestFace(g *LatLng, face *int32, sqd *float64)",false,kind: func
_geoToFaceIjk,(C-internal: faceijk.c),faceijk__geoToFaceIjk.go,_geoToFaceIjk,"func _geoToFaceIjk(g *LatLng, res int32, h *FaceIJK)",false,kind: func
_geoToHex2d,(C-internal: faceijk.c),faceijk__geoToHex2d.go,_geoToHex2d,"func _geoToHex2d(g *LatLng, res int32, face *int32, v *Vec2d)",false,kind: func
_hex2dToGeo,(C-internal: faceijk.c),faceijk__hex2dToGeo.go,_hex2dToGeo,"func _hex2dToGeo(v *Vec2d, face int32, res int32, substrate int32, g *LatLng)",false,kind: func
adjacentFaceDir,(C-internal: faceijk.c),faceijk_constants.go,adjacentFaceDir,var adjacentFaceDir,false,kind: var
faceNeighbors,(C-internal: faceijk.c),faceijk_neighbors.go,faceNeighbors,var faceNeighbors,false,kind: var
maxDimByCIIres,(C-internal: faceijk.c),faceijk_constants.go,maxDimByCIIres,var maxDimByCIIres,false,kind: var
unitScaleByCIIres,(C-internal: faceijk.c),faceijk_constants.go,unitScaleByCIIres,var unitScaleByCIIres,false,kind: var
H3_GET_BASE_CELL,(C-internal: h3Index.c),h3index__getters.go,getBaseCell,func getBaseCell(h H3Index) int32,false,kind: func
_faceIjkToH3,(C-internal: h3Index.c),h3index__faceIjkToH3.go,_faceIjkToH3,"func _faceIjkToH3(fijk *FaceIJK, res int32) H3Index",false,kind: func
_firstOneIndex,(C-internal: h3Index.c),h3index__firstOneIndex.go,_firstOneIndex,func _firstOneIndex(h H3Index) int32,false,kind: func
_h3LeadingNonZeroDigit,(C-internal: h3Index.c),h3index__leadingNonZeroDigit.go,_h3LeadingNonZeroDigit,func _h3LeadingNonZeroDigit(h H3Index) int32,false,kind: func
_h3Rotate60ccw,(C-internal: h3Index.c),h3index__h3Rotate60ccw.go,_h3Rotate60ccw,func _h3Rotate60ccw(h H3Index) H3Index,false,kind: func
_h3Rotate60cw,(C-internal: h3Index.c),h3index__h3Rotate60cw.go,_h3Rotate60cw,func _h3Rotate60cw(h H3Index) H3Index,false,kind: func
_h3RotatePent60ccw,(C-internal: h3Index.c),h3index__h3RotatePent60ccw.go,_h3RotatePent60ccw,func _h3RotatePent60ccw(h H3Index) H3Index,false,kind: func
_h3RotatePent60cw,(C-internal: h3Index.c),h3index__h3RotatePent60cw.go,_h3RotatePent60cw,func _h3RotatePent60cw(h H3Index) H3Index,false,kind: func
